event_id,timestamp,gateway,user,src_ip,assigned_ip,action,result,mfa,geo,device_id,raw
vpn-20260706-012916,2026-07-02T00:01:27+08:00,vpn-gw-01,admin.li,192.0.2.166,10.20.25.54,logout,success,passed,CN-Shanghai,dev-8131,vpn user=admin.li result=success
vpn-20260706-007764,2026-07-02T00:01:55+08:00,vpn-gw-01,zhang.wei,203.0.113.27,10.20.25.194,login,success,passed,SG-Singapore,dev-2527,vpn user=zhang.wei result=success
vpn-20260706-013070,2026-07-02T00:02:48+08:00,vpn-gw-01,liu.qiang,192.0.2.199,10.20.25.133,reauth,success,passed,JP-Tokyo,dev-6387,vpn user=liu.qiang result=success
vpn-20260706-004773,2026-07-02T00:03:51+08:00,vpn-gw-01,liu.qiang,192.0.2.18,10.20.25.189,reauth,success,passed,SG-Singapore,dev-8031,vpn user=liu.qiang result=success
vpn-20260706-002411,2026-07-02T00:04:22+08:00,vpn-gw-01,chen.yu,203.0.113.11,10.20.25.215,login,success,passed,JP-Tokyo,dev-8925,vpn user=chen.yu result=success
vpn-20260706-013146,2026-07-02T00:04:45+08:00,vpn-gw-01,liu.qiang,192.0.2.175,10.20.25.74,logout,success,passed,SG-Singapore,dev-3169,vpn user=liu.qiang result=success
vpn-20260706-014393,2026-07-02T00:04:47+08:00,vpn-gw-01,liu.qiang,198.51.100.11,10.20.25.16,login,success,passed,JP-Tokyo,dev-7815,vpn user=liu.qiang result=success
vpn-20260706-014966,2026-07-02T00:05:56+08:00,vpn-gw-01,zhang.wei,203.0.113.220,,logout,failed,failed,CN-Shanghai,dev-5026,vpn user=zhang.wei result=failed
vpn-20260706-010114,2026-07-02T00:06:10+08:00,vpn-gw-01,chen.yu,192.0.2.131,10.20.25.238,login,success,passed,CN-Beijing,dev-8445,vpn user=chen.yu result=success
vpn-20260706-015541,2026-07-02T00:06:24+08:00,vpn-gw-01,admin.li,198.51.100.191,10.20.25.93,logout,success,passed,CN-Beijing,dev-8176,vpn user=admin.li result=success
vpn-20260706-015161,2026-07-02T00:07:29+08:00,vpn-gw-01,svc_backup,203.0.113.135,10.20.25.150,logout,success,passed,JP-Tokyo,dev-3409,vpn user=svc_backup result=success
vpn-20260706-000693,2026-07-02T00:07:32+08:00,vpn-gw-01,chen.yu,192.0.2.201,10.20.25.136,logout,success,passed,SG-Singapore,dev-9885,vpn user=chen.yu result=success
vpn-20260706-015656,2026-07-02T00:07:33+08:00,vpn-gw-01,wang.mei,192.0.2.31,10.20.25.133,logout,success,passed,CN-Shanghai,dev-3745,vpn user=wang.mei result=success
vpn-20260706-009751,2026-07-02T00:07:34+08:00,vpn-gw-01,liu.qiang,203.0.113.196,10.20.25.216,login,success,passed,CN-Shenzhen,dev-7188,vpn user=liu.qiang result=success
vpn-20260706-000472,2026-07-02T00:08:11+08:00,vpn-gw-01,wang.mei,203.0.113.146,10.20.25.215,reauth,success,passed,CN-Beijing,dev-3245,vpn user=wang.mei result=success
vpn-20260706-002276,2026-07-02T00:09:11+08:00,vpn-gw-01,liu.qiang,198.51.100.228,10.20.25.144,reauth,success,passed,CN-Shenzhen,dev-5377,vpn user=liu.qiang result=success
vpn-20260706-013490,2026-07-02T00:10:22+08:00,vpn-gw-01,wang.mei,198.51.100.227,10.20.25.67,login,success,passed,CN-Beijing,dev-8265,vpn user=wang.mei result=success
vpn-20260706-008581,2026-07-02T00:10:35+08:00,vpn-gw-01,zhang.wei,198.51.100.174,10.20.25.79,reauth,success,passed,CN-Shanghai,dev-1365,vpn user=zhang.wei result=success
vpn-20260706-011535,2026-07-02T00:10:56+08:00,vpn-gw-01,chen.yu,203.0.113.181,10.20.25.146,reauth,success,passed,SG-Singapore,dev-7580,vpn user=chen.yu result=success
vpn-20260706-004837,2026-07-02T00:11:07+08:00,vpn-gw-01,chen.yu,198.51.100.109,,logout,failed,failed,CN-Shenzhen,dev-3209,vpn user=chen.yu result=failed
vpn-20260706-011209,2026-07-02T00:11:19+08:00,vpn-gw-01,liu.qiang,198.51.100.150,10.20.25.133,reauth,success,passed,SG-Singapore,dev-9645,vpn user=liu.qiang result=success
vpn-20260706-008874,2026-07-02T00:11:27+08:00,vpn-gw-01,admin.li,192.0.2.226,,login,failed,failed,CN-Shanghai,dev-2412,vpn user=admin.li result=failed
vpn-20260706-011508,2026-07-02T00:11:49+08:00,vpn-gw-01,chen.yu,192.0.2.10,10.20.25.75,reauth,success,passed,CN-Shenzhen,dev-3054,vpn user=chen.yu result=success
vpn-20260706-004642,2026-07-02T00:11:56+08:00,vpn-gw-01,chen.yu,198.51.100.124,10.20.25.150,reauth,success,passed,CN-Shenzhen,dev-7702,vpn user=chen.yu result=success
vpn-20260706-012359,2026-07-02T00:12:46+08:00,vpn-gw-01,svc_backup,198.51.100.24,10.20.25.72,reauth,success,passed,CN-Shenzhen,dev-9622,vpn user=svc_backup result=success
vpn-20260706-014227,2026-07-02T00:12:58+08:00,vpn-gw-01,admin.li,198.51.100.213,10.20.25.53,logout,success,passed,CN-Shenzhen,dev-8998,vpn user=admin.li result=success
vpn-20260706-006534,2026-07-02T00:13:13+08:00,vpn-gw-01,zhang.wei,203.0.113.19,10.20.25.22,reauth,success,passed,SG-Singapore,dev-7729,vpn user=zhang.wei result=success
vpn-20260706-005427,2026-07-02T00:13:50+08:00,vpn-gw-01,svc_backup,198.51.100.207,,logout,failed,failed,CN-Shenzhen,dev-7177,vpn user=svc_backup result=failed
vpn-20260706-013838,2026-07-02T00:14:12+08:00,vpn-gw-01,zhang.wei,203.0.113.228,10.20.25.158,login,success,passed,CN-Shenzhen,dev-3617,vpn user=zhang.wei result=success
vpn-20260706-003055,2026-07-02T00:14:13+08:00,vpn-gw-01,chen.yu,203.0.113.99,10.20.25.194,login,success,passed,CN-Shenzhen,dev-2557,vpn user=chen.yu result=success
vpn-20260706-006343,2026-07-02T00:14:17+08:00,vpn-gw-01,wang.mei,192.0.2.169,10.20.25.36,reauth,success,passed,SG-Singapore,dev-2277,vpn user=wang.mei result=success
vpn-20260706-005335,2026-07-02T00:15:19+08:00,vpn-gw-01,wang.mei,203.0.113.90,,logout,failed,timeout,CN-Shanghai,dev-2806,vpn user=wang.mei result=failed
vpn-20260706-012548,2026-07-02T00:15:55+08:00,vpn-gw-01,svc_backup,203.0.113.228,10.20.25.159,logout,success,passed,CN-Shanghai,dev-8452,vpn user=svc_backup result=success
vpn-20260706-011094,2026-07-02T00:16:02+08:00,vpn-gw-01,svc_backup,203.0.113.26,10.20.25.209,login,success,passed,SG-Singapore,dev-7579,vpn user=svc_backup result=success
vpn-20260706-002680,2026-07-02T00:16:23+08:00,vpn-gw-01,chen.yu,198.51.100.240,10.20.25.234,reauth,success,passed,SG-Singapore,dev-6022,vpn user=chen.yu result=success
vpn-20260706-001921,2026-07-02T00:16:31+08:00,vpn-gw-01,zhang.wei,198.51.100.24,10.20.25.225,reauth,success,passed,JP-Tokyo,dev-5068,vpn user=zhang.wei result=success
vpn-20260706-002122,2026-07-02T00:16:40+08:00,vpn-gw-01,chen.yu,192.0.2.191,,reauth,failed,timeout,CN-Hangzhou,dev-2490,vpn user=chen.yu result=failed
vpn-20260706-003028,2026-07-02T00:16:43+08:00,vpn-gw-01,zhang.wei,203.0.113.219,10.20.25.84,logout,success,passed,CN-Shenzhen,dev-7242,vpn user=zhang.wei result=success
vpn-20260706-013444,2026-07-02T00:17:26+08:00,vpn-gw-01,admin.li,203.0.113.142,10.20.25.21,login,success,passed,CN-Shenzhen,dev-5859,vpn user=admin.li result=success
vpn-20260706-005125,2026-07-02T00:17:36+08:00,vpn-gw-01,svc_backup,192.0.2.159,10.20.25.178,reauth,success,passed,CN-Beijing,dev-4360,vpn user=svc_backup result=success
vpn-20260706-008987,2026-07-02T00:17:36+08:00,vpn-gw-01,wang.mei,192.0.2.199,10.20.25.140,logout,success,passed,CN-Beijing,dev-6668,vpn user=wang.mei result=success
vpn-20260706-001768,2026-07-02T00:17:44+08:00,vpn-gw-01,liu.qiang,203.0.113.141,10.20.25.146,logout,success,passed,CN-Beijing,dev-8806,vpn user=liu.qiang result=success
vpn-20260706-002910,2026-07-02T00:18:01+08:00,vpn-gw-01,admin.li,198.51.100.65,10.20.25.131,reauth,success,passed,SG-Singapore,dev-4178,vpn user=admin.li result=success
vpn-20260706-003015,2026-07-02T00:18:04+08:00,vpn-gw-01,zhang.wei,203.0.113.88,10.20.25.157,logout,success,passed,SG-Singapore,dev-7126,vpn user=zhang.wei result=success
vpn-20260706-002049,2026-07-02T00:18:07+08:00,vpn-gw-01,zhang.wei,192.0.2.158,10.20.25.164,login,success,passed,CN-Beijing,dev-4831,vpn user=zhang.wei result=success
vpn-20260706-000285,2026-07-02T00:18:40+08:00,vpn-gw-01,svc_backup,203.0.113.192,10.20.25.151,reauth,success,passed,CN-Shanghai,dev-2592,vpn user=svc_backup result=success
vpn-20260706-003389,2026-07-02T00:18:54+08:00,vpn-gw-01,admin.li,198.51.100.117,10.20.25.118,logout,success,passed,SG-Singapore,dev-3383,vpn user=admin.li result=success
vpn-20260706-001237,2026-07-02T00:18:55+08:00,vpn-gw-01,admin.li,198.51.100.115,10.20.25.102,reauth,success,passed,JP-Tokyo,dev-5437,vpn user=admin.li result=success
vpn-20260706-000031,2026-07-02T00:19:00+08:00,vpn-gw-01,admin.li,198.51.100.38,10.20.25.151,reauth,success,passed,SG-Singapore,dev-5756,vpn user=admin.li result=success
vpn-20260706-001088,2026-07-02T00:19:03+08:00,vpn-gw-01,liu.qiang,198.51.100.41,10.20.25.174,login,success,passed,CN-Beijing,dev-4324,vpn user=liu.qiang result=success
vpn-20260706-006824,2026-07-02T00:19:21+08:00,vpn-gw-01,wang.mei,192.0.2.49,10.20.25.50,reauth,success,passed,JP-Tokyo,dev-3406,vpn user=wang.mei result=success
vpn-20260706-007032,2026-07-02T00:19:28+08:00,vpn-gw-01,chen.yu,203.0.113.81,10.20.25.185,logout,success,passed,CN-Beijing,dev-7795,vpn user=chen.yu result=success
vpn-20260706-002150,2026-07-02T00:20:26+08:00,vpn-gw-01,liu.qiang,203.0.113.85,10.20.25.104,reauth,success,passed,SG-Singapore,dev-4576,vpn user=liu.qiang result=success
vpn-20260706-009569,2026-07-02T00:21:05+08:00,vpn-gw-01,zhang.wei,203.0.113.66,10.20.25.65,login,success,passed,SG-Singapore,dev-5199,vpn user=zhang.wei result=success
vpn-20260706-007707,2026-07-02T00:21:17+08:00,vpn-gw-01,zhang.wei,203.0.113.19,10.20.25.88,logout,success,passed,CN-Shanghai,dev-7677,vpn user=zhang.wei result=success
vpn-20260706-006142,2026-07-02T00:21:30+08:00,vpn-gw-01,liu.qiang,203.0.113.228,10.20.25.166,login,success,passed,CN-Shanghai,dev-3555,vpn user=liu.qiang result=success
vpn-20260706-014177,2026-07-02T00:21:59+08:00,vpn-gw-01,wang.mei,203.0.113.237,10.20.25.66,logout,success,passed,JP-Tokyo,dev-2713,vpn user=wang.mei result=success
vpn-20260706-007802,2026-07-02T00:22:01+08:00,vpn-gw-01,chen.yu,192.0.2.66,10.20.25.36,reauth,success,passed,CN-Beijing,dev-9219,vpn user=chen.yu result=success
vpn-20260706-013034,2026-07-02T00:22:02+08:00,vpn-gw-01,liu.qiang,192.0.2.47,10.20.25.147,logout,success,passed,SG-Singapore,dev-1478,vpn user=liu.qiang result=success
vpn-20260706-012433,2026-07-02T00:22:04+08:00,vpn-gw-01,wang.mei,203.0.113.126,10.20.25.181,logout,success,passed,CN-Hangzhou,dev-9187,vpn user=wang.mei result=success
vpn-20260706-001269,2026-07-02T00:22:54+08:00,vpn-gw-01,chen.yu,203.0.113.89,10.20.25.186,logout,success,passed,JP-Tokyo,dev-7707,vpn user=chen.yu result=success
vpn-20260706-015217,2026-07-02T00:23:16+08:00,vpn-gw-01,liu.qiang,203.0.113.155,10.20.25.143,logout,success,passed,JP-Tokyo,dev-7509,vpn user=liu.qiang result=success
vpn-20260706-011403,2026-07-02T00:23:26+08:00,vpn-gw-01,zhang.wei,198.51.100.197,10.20.25.66,reauth,success,passed,JP-Tokyo,dev-7717,vpn user=zhang.wei result=success
vpn-20260706-005725,2026-07-02T00:23:27+08:00,vpn-gw-01,svc_backup,198.51.100.90,10.20.25.163,logout,success,passed,JP-Tokyo,dev-6271,vpn user=svc_backup result=success
vpn-20260706-010835,2026-07-02T00:23:27+08:00,vpn-gw-01,svc_backup,192.0.2.190,10.20.25.110,login,success,passed,CN-Shenzhen,dev-2198,vpn user=svc_backup result=success
vpn-20260706-001994,2026-07-02T00:25:08+08:00,vpn-gw-01,liu.qiang,192.0.2.76,,login,failed,failed,CN-Hangzhou,dev-6851,vpn user=liu.qiang result=failed
vpn-20260706-001501,2026-07-02T00:25:21+08:00,vpn-gw-01,chen.yu,203.0.113.212,10.20.25.154,reauth,success,passed,CN-Shanghai,dev-3675,vpn user=chen.yu result=success
vpn-20260706-014850,2026-07-02T00:25:50+08:00,vpn-gw-01,chen.yu,203.0.113.49,,logout,failed,timeout,CN-Beijing,dev-8208,vpn user=chen.yu result=failed
vpn-20260706-002726,2026-07-02T00:25:54+08:00,vpn-gw-01,admin.li,203.0.113.181,10.20.25.216,reauth,success,passed,CN-Beijing,dev-1441,vpn user=admin.li result=success
vpn-20260706-010071,2026-07-02T00:26:09+08:00,vpn-gw-01,wang.mei,192.0.2.17,10.20.25.112,login,success,passed,CN-Shanghai,dev-3382,vpn user=wang.mei result=success
vpn-20260706-002764,2026-07-02T00:26:12+08:00,vpn-gw-01,zhang.wei,192.0.2.40,10.20.25.61,logout,success,passed,CN-Beijing,dev-4458,vpn user=zhang.wei result=success
vpn-20260706-005915,2026-07-02T00:26:18+08:00,vpn-gw-01,zhang.wei,192.0.2.177,10.20.25.179,reauth,success,passed,CN-Beijing,dev-7469,vpn user=zhang.wei result=success
vpn-20260706-005789,2026-07-02T00:26:23+08:00,vpn-gw-01,chen.yu,198.51.100.230,10.20.25.154,reauth,success,passed,CN-Beijing,dev-3156,vpn user=chen.yu result=success
vpn-20260706-004381,2026-07-02T00:27:21+08:00,vpn-gw-01,wang.mei,198.51.100.165,10.20.25.163,login,success,passed,CN-Shenzhen,dev-4014,vpn user=wang.mei result=success
vpn-20260706-001148,2026-07-02T00:27:22+08:00,vpn-gw-01,admin.li,192.0.2.104,10.20.25.91,reauth,success,passed,CN-Beijing,dev-3891,vpn user=admin.li result=success
vpn-20260706-015237,2026-07-02T00:27:25+08:00,vpn-gw-01,zhang.wei,203.0.113.45,10.20.25.112,logout,success,passed,JP-Tokyo,dev-9275,vpn user=zhang.wei result=success
vpn-20260706-011492,2026-07-02T00:27:37+08:00,vpn-gw-01,svc_backup,203.0.113.194,10.20.25.176,reauth,success,passed,JP-Tokyo,dev-2767,vpn user=svc_backup result=success
vpn-20260706-013045,2026-07-02T00:27:44+08:00,vpn-gw-01,wang.mei,203.0.113.169,10.20.25.48,reauth,success,passed,CN-Beijing,dev-6820,vpn user=wang.mei result=success
vpn-20260706-002520,2026-07-02T00:27:45+08:00,vpn-gw-01,zhang.wei,203.0.113.112,10.20.25.99,login,success,passed,CN-Beijing,dev-6330,vpn user=zhang.wei result=success
vpn-20260706-012968,2026-07-02T00:28:05+08:00,vpn-gw-01,wang.mei,203.0.113.226,10.20.25.110,login,success,passed,CN-Shanghai,dev-7074,vpn user=wang.mei result=success
vpn-20260706-009670,2026-07-02T00:28:26+08:00,vpn-gw-01,zhang.wei,203.0.113.101,10.20.25.173,login,success,passed,CN-Beijing,dev-2848,vpn user=zhang.wei result=success
vpn-20260706-004453,2026-07-02T00:28:32+08:00,vpn-gw-01,admin.li,203.0.113.133,10.20.25.27,logout,success,passed,CN-Beijing,dev-1809,vpn user=admin.li result=success
vpn-20260706-013310,2026-07-02T00:28:52+08:00,vpn-gw-01,liu.qiang,192.0.2.222,10.20.25.148,login,success,passed,CN-Hangzhou,dev-5838,vpn user=liu.qiang result=success
vpn-20260706-015607,2026-07-02T00:29:02+08:00,vpn-gw-01,chen.yu,203.0.113.45,10.20.25.161,logout,success,passed,JP-Tokyo,dev-4446,vpn user=chen.yu result=success
vpn-20260706-008138,2026-07-02T00:29:15+08:00,vpn-gw-01,wang.mei,203.0.113.197,10.20.25.237,logout,success,passed,JP-Tokyo,dev-2439,vpn user=wang.mei result=success
vpn-20260706-007852,2026-07-02T00:29:31+08:00,vpn-gw-01,wang.mei,203.0.113.59,10.20.25.40,login,success,passed,SG-Singapore,dev-6144,vpn user=wang.mei result=success
vpn-20260706-006250,2026-07-02T00:29:49+08:00,vpn-gw-01,svc_backup,198.51.100.203,10.20.25.216,login,success,passed,CN-Shanghai,dev-9601,vpn user=svc_backup result=success
vpn-20260706-009097,2026-07-02T00:30:43+08:00,vpn-gw-01,zhang.wei,203.0.113.41,10.20.25.53,login,success,passed,SG-Singapore,dev-8660,vpn user=zhang.wei result=success
vpn-20260706-002311,2026-07-02T00:31:04+08:00,vpn-gw-01,admin.li,198.51.100.38,10.20.25.129,logout,success,passed,JP-Tokyo,dev-2981,vpn user=admin.li result=success
vpn-20260706-003374,2026-07-02T00:31:07+08:00,vpn-gw-01,liu.qiang,198.51.100.91,10.20.25.102,reauth,success,passed,CN-Shenzhen,dev-1005,vpn user=liu.qiang result=success
vpn-20260706-008803,2026-07-02T00:31:28+08:00,vpn-gw-01,chen.yu,192.0.2.141,10.20.25.188,login,success,passed,SG-Singapore,dev-8703,vpn user=chen.yu result=success
vpn-20260706-002555,2026-07-02T00:31:55+08:00,vpn-gw-01,zhang.wei,198.51.100.227,10.20.25.61,login,success,passed,SG-Singapore,dev-7875,vpn user=zhang.wei result=success
vpn-20260706-000040,2026-07-02T00:32:06+08:00,vpn-gw-01,liu.qiang,192.0.2.222,10.20.25.237,logout,success,passed,JP-Tokyo,dev-3280,vpn user=liu.qiang result=success
vpn-20260706-000230,2026-07-02T00:32:33+08:00,vpn-gw-01,svc_backup,192.0.2.74,10.20.25.126,logout,success,passed,CN-Beijing,dev-6117,vpn user=svc_backup result=success
vpn-20260706-007330,2026-07-02T00:33:02+08:00,vpn-gw-01,zhang.wei,203.0.113.89,10.20.25.226,logout,success,passed,SG-Singapore,dev-4266,vpn user=zhang.wei result=success
vpn-20260706-013435,2026-07-02T00:33:04+08:00,vpn-gw-01,svc_backup,198.51.100.179,10.20.25.189,login,success,passed,CN-Hangzhou,dev-2086,vpn user=svc_backup result=success
vpn-20260706-009907,2026-07-02T00:33:07+08:00,vpn-gw-01,svc_backup,203.0.113.186,10.20.25.52,logout,success,passed,CN-Shanghai,dev-5880,vpn user=svc_backup result=success
vpn-20260706-013120,2026-07-02T00:33:10+08:00,vpn-gw-01,chen.yu,198.51.100.137,10.20.25.29,logout,success,passed,CN-Shanghai,dev-9036,vpn user=chen.yu result=success
vpn-20260706-015074,2026-07-02T00:34:30+08:00,vpn-gw-01,svc_backup,203.0.113.215,10.20.25.59,logout,success,passed,SG-Singapore,dev-6529,vpn user=svc_backup result=success
vpn-20260706-010859,2026-07-02T00:34:40+08:00,vpn-gw-01,zhang.wei,198.51.100.174,,login,failed,failed,JP-Tokyo,dev-5628,vpn user=zhang.wei result=failed
vpn-20260706-005944,2026-07-02T00:34:44+08:00,vpn-gw-01,admin.li,203.0.113.200,10.20.25.155,logout,success,passed,CN-Beijing,dev-2785,vpn user=admin.li result=success
vpn-20260706-007729,2026-07-02T00:34:50+08:00,vpn-gw-01,liu.qiang,192.0.2.40,10.20.25.154,login,success,passed,CN-Beijing,dev-7197,vpn user=liu.qiang result=success
vpn-20260706-010140,2026-07-02T00:35:15+08:00,vpn-gw-01,liu.qiang,198.51.100.57,10.20.25.69,logout,success,passed,JP-Tokyo,dev-2983,vpn user=liu.qiang result=success
vpn-20260706-004261,2026-07-02T00:35:22+08:00,vpn-gw-01,admin.li,198.51.100.94,10.20.25.58,logout,success,passed,CN-Hangzhou,dev-4237,vpn user=admin.li result=success
vpn-20260706-001030,2026-07-02T00:35:43+08:00,vpn-gw-01,chen.yu,203.0.113.98,10.20.25.50,reauth,success,passed,JP-Tokyo,dev-7725,vpn user=chen.yu result=success
vpn-20260706-011847,2026-07-02T00:35:53+08:00,vpn-gw-01,chen.yu,203.0.113.140,10.20.25.184,reauth,success,passed,SG-Singapore,dev-3435,vpn user=chen.yu result=success
vpn-20260706-006919,2026-07-02T00:36:40+08:00,vpn-gw-01,svc_backup,203.0.113.96,10.20.25.14,logout,success,passed,JP-Tokyo,dev-7512,vpn user=svc_backup result=success
vpn-20260706-008209,2026-07-02T00:37:44+08:00,vpn-gw-01,chen.yu,198.51.100.40,10.20.25.132,reauth,success,passed,CN-Hangzhou,dev-9287,vpn user=chen.yu result=success
vpn-20260706-014603,2026-07-02T00:38:11+08:00,vpn-gw-01,svc_backup,192.0.2.44,10.20.25.64,reauth,success,passed,CN-Beijing,dev-1599,vpn user=svc_backup result=success
vpn-20260706-003936,2026-07-02T00:38:15+08:00,vpn-gw-01,liu.qiang,203.0.113.156,10.20.25.69,reauth,success,passed,JP-Tokyo,dev-7459,vpn user=liu.qiang result=success
vpn-20260706-009491,2026-07-02T00:40:50+08:00,vpn-gw-01,svc_backup,203.0.113.67,10.20.25.120,logout,success,passed,CN-Hangzhou,dev-7450,vpn user=svc_backup result=success
vpn-20260706-007247,2026-07-02T00:40:52+08:00,vpn-gw-01,wang.mei,192.0.2.184,10.20.25.224,logout,success,passed,JP-Tokyo,dev-8307,vpn user=wang.mei result=success
vpn-20260706-014615,2026-07-02T00:40:54+08:00,vpn-gw-01,chen.yu,192.0.2.47,,login,failed,timeout,CN-Beijing,dev-1461,vpn user=chen.yu result=failed
vpn-20260706-004195,2026-07-02T00:41:01+08:00,vpn-gw-01,chen.yu,192.0.2.226,10.20.25.149,logout,success,passed,JP-Tokyo,dev-1043,vpn user=chen.yu result=success
vpn-20260706-008362,2026-07-02T00:41:03+08:00,vpn-gw-01,wang.mei,192.0.2.154,10.20.25.151,login,success,passed,SG-Singapore,dev-5709,vpn user=wang.mei result=success
vpn-20260706-010298,2026-07-02T00:41:23+08:00,vpn-gw-01,wang.mei,203.0.113.39,10.20.25.58,login,success,passed,CN-Beijing,dev-7939,vpn user=wang.mei result=success
vpn-20260706-007596,2026-07-02T00:41:51+08:00,vpn-gw-01,wang.mei,192.0.2.138,10.20.25.98,logout,success,passed,SG-Singapore,dev-5408,vpn user=wang.mei result=success
vpn-20260706-009735,2026-07-02T00:42:17+08:00,vpn-gw-01,zhang.wei,198.51.100.69,10.20.25.16,logout,success,passed,CN-Shenzhen,dev-4026,vpn user=zhang.wei result=success
vpn-20260706-004043,2026-07-02T00:42:20+08:00,vpn-gw-01,svc_backup,192.0.2.129,10.20.25.13,logout,success,passed,JP-Tokyo,dev-3366,vpn user=svc_backup result=success
vpn-20260706-003105,2026-07-02T00:42:41+08:00,vpn-gw-01,chen.yu,192.0.2.81,10.20.25.23,login,success,passed,SG-Singapore,dev-7527,vpn user=chen.yu result=success
vpn-20260706-004659,2026-07-02T00:42:55+08:00,vpn-gw-01,zhang.wei,198.51.100.228,10.20.25.113,login,success,passed,CN-Hangzhou,dev-7337,vpn user=zhang.wei result=success
vpn-20260706-015658,2026-07-02T00:43:04+08:00,vpn-gw-01,zhang.wei,198.51.100.26,10.20.25.200,logout,success,passed,SG-Singapore,dev-8872,vpn user=zhang.wei result=success
vpn-20260706-015554,2026-07-02T00:43:40+08:00,vpn-gw-01,admin.li,198.51.100.84,10.20.25.24,logout,success,passed,CN-Shanghai,dev-3324,vpn user=admin.li result=success
vpn-20260706-005297,2026-07-02T00:43:44+08:00,vpn-gw-01,svc_backup,198.51.100.238,10.20.25.73,logout,success,passed,CN-Hangzhou,dev-9431,vpn user=svc_backup result=success
vpn-20260706-015739,2026-07-02T00:44:04+08:00,vpn-gw-01,wang.mei,198.51.100.168,10.20.25.51,login,success,passed,SG-Singapore,dev-7364,vpn user=wang.mei result=success
vpn-20260706-009903,2026-07-02T00:44:18+08:00,vpn-gw-01,chen.yu,198.51.100.58,10.20.25.61,logout,success,passed,SG-Singapore,dev-9787,vpn user=chen.yu result=success
vpn-20260706-001955,2026-07-02T00:44:42+08:00,vpn-gw-01,chen.yu,192.0.2.199,,reauth,failed,timeout,CN-Beijing,dev-3870,vpn user=chen.yu result=failed
vpn-20260706-005347,2026-07-02T00:45:01+08:00,vpn-gw-01,wang.mei,203.0.113.14,10.20.25.199,login,success,passed,CN-Shanghai,dev-4841,vpn user=wang.mei result=success
vpn-20260706-015605,2026-07-02T00:45:07+08:00,vpn-gw-01,svc_backup,198.51.100.156,10.20.25.157,reauth,success,passed,CN-Hangzhou,dev-5444,vpn user=svc_backup result=success
vpn-20260706-001465,2026-07-02T00:45:31+08:00,vpn-gw-01,zhang.wei,198.51.100.153,10.20.25.42,reauth,success,passed,CN-Hangzhou,dev-4943,vpn user=zhang.wei result=success
vpn-20260706-000846,2026-07-02T00:46:15+08:00,vpn-gw-01,zhang.wei,198.51.100.85,10.20.25.170,login,success,passed,CN-Hangzhou,dev-1774,vpn user=zhang.wei result=success
vpn-20260706-010891,2026-07-02T00:46:31+08:00,vpn-gw-01,chen.yu,192.0.2.77,10.20.25.115,login,success,passed,CN-Hangzhou,dev-7173,vpn user=chen.yu result=success
vpn-20260706-015594,2026-07-02T00:47:00+08:00,vpn-gw-01,wang.mei,198.51.100.182,10.20.25.20,reauth,success,passed,CN-Hangzhou,dev-7560,vpn user=wang.mei result=success
vpn-20260706-000802,2026-07-02T00:47:08+08:00,vpn-gw-01,chen.yu,198.51.100.137,10.20.25.86,logout,success,passed,CN-Shenzhen,dev-8369,vpn user=chen.yu result=success
