event_id,timestamp,scanner,target_ip,plugin_id,severity,title,result,raw
vuln-20260706-005994,2026-07-02T00:15:08+08:00,10.20.90.21,10.20.60.21,81873,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-008926,2026-07-02T00:15:08+08:00,10.20.90.21,10.20.60.21,92410,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-010028,2026-07-02T00:15:08+08:00,10.20.90.21,10.20.10.21,29743,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-000729,2026-07-02T00:15:09+08:00,10.20.90.21,10.20.60.21,72575,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-000768,2026-07-02T00:15:09+08:00,10.20.90.21,10.20.10.21,75302,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-005257,2026-07-02T00:15:09+08:00,10.20.90.21,10.20.10.21,82090,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-008738,2026-07-02T00:15:09+08:00,10.20.90.21,10.20.60.21,10918,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-010392,2026-07-02T00:15:09+08:00,10.20.90.21,10.20.10.21,11609,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-012129,2026-07-02T00:15:09+08:00,10.20.90.21,10.20.30.21,70031,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-014111,2026-07-02T00:15:09+08:00,10.20.90.21,10.20.60.21,13537,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-015931,2026-07-02T00:15:09+08:00,10.20.90.21,10.20.60.21,74975,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-014706,2026-07-02T00:15:10+08:00,10.20.90.21,10.20.10.22,56718,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-008864,2026-07-02T00:15:11+08:00,10.20.90.21,10.20.30.21,18945,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-007801,2026-07-02T00:15:12+08:00,10.20.90.21,10.20.10.22,46722,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-007989,2026-07-02T00:15:12+08:00,10.20.90.21,10.20.30.21,63607,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-009076,2026-07-02T00:15:12+08:00,10.20.90.21,10.20.30.21,89293,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-014395,2026-07-02T00:15:12+08:00,10.20.90.21,10.20.10.21,21079,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-014722,2026-07-02T00:15:12+08:00,10.20.90.21,10.20.30.21,14985,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-009101,2026-07-02T00:15:13+08:00,10.20.90.21,10.20.60.21,93311,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-011647,2026-07-02T00:15:13+08:00,10.20.90.21,10.20.10.21,35344,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-012146,2026-07-02T00:15:13+08:00,10.20.90.21,10.20.60.21,74282,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-003117,2026-07-02T00:15:14+08:00,10.20.90.21,10.20.10.21,73375,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-003680,2026-07-02T00:15:14+08:00,10.20.90.21,10.20.10.21,36316,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-004852,2026-07-02T00:15:14+08:00,10.20.90.21,10.20.30.21,38314,medium,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-007047,2026-07-02T00:15:14+08:00,10.20.90.21,10.20.10.21,16098,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-010545,2026-07-02T00:15:14+08:00,10.20.90.21,10.20.10.22,78640,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-003533,2026-07-02T00:15:15+08:00,10.20.90.21,10.20.60.21,31207,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-009483,2026-07-02T00:15:15+08:00,10.20.90.21,10.20.10.22,75806,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-013369,2026-07-02T00:15:15+08:00,10.20.90.21,10.20.30.21,65217,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-014493,2026-07-02T00:15:15+08:00,10.20.90.21,10.20.10.22,21042,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-002310,2026-07-02T00:15:16+08:00,10.20.90.21,10.20.60.21,52398,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-008151,2026-07-02T00:15:16+08:00,10.20.90.21,10.20.10.21,86624,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-009216,2026-07-02T00:15:16+08:00,10.20.90.21,10.20.30.21,84580,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-011235,2026-07-02T00:15:16+08:00,10.20.90.21,10.20.10.22,20263,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-012673,2026-07-02T00:15:17+08:00,10.20.90.21,10.20.30.21,97017,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-009639,2026-07-02T00:15:18+08:00,10.20.90.21,10.20.30.21,58862,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-013727,2026-07-02T00:15:18+08:00,10.20.90.21,10.20.60.21,88294,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-015074,2026-07-02T00:15:18+08:00,10.20.90.21,10.20.60.21,87291,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-002362,2026-07-02T00:15:20+08:00,10.20.90.21,10.20.30.21,84806,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-006500,2026-07-02T00:15:20+08:00,10.20.90.21,10.20.30.21,19327,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-007093,2026-07-02T00:15:20+08:00,10.20.90.21,10.20.10.22,85280,medium,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-012166,2026-07-02T00:15:20+08:00,10.20.90.21,10.20.60.21,37852,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-013478,2026-07-02T00:15:20+08:00,10.20.90.21,10.20.30.21,56702,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-002612,2026-07-02T00:15:21+08:00,10.20.90.21,10.20.60.21,67396,medium,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-003977,2026-07-02T00:15:21+08:00,10.20.90.21,10.20.30.21,21410,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-005335,2026-07-02T00:15:21+08:00,10.20.90.21,10.20.10.22,48679,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-009694,2026-07-02T00:15:21+08:00,10.20.90.21,10.20.10.21,92019,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-014929,2026-07-02T00:15:21+08:00,10.20.90.21,10.20.60.21,84156,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-005290,2026-07-02T00:15:22+08:00,10.20.90.21,10.20.10.21,90026,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-010609,2026-07-02T00:15:22+08:00,10.20.90.21,10.20.10.22,21722,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-010919,2026-07-02T00:15:22+08:00,10.20.90.21,10.20.10.21,91701,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-011113,2026-07-02T00:15:22+08:00,10.20.90.21,10.20.60.21,46018,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-013017,2026-07-02T00:15:22+08:00,10.20.90.21,10.20.30.21,88345,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-015594,2026-07-02T00:15:22+08:00,10.20.90.21,10.20.30.21,77719,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-002865,2026-07-02T00:15:23+08:00,10.20.90.21,10.20.10.21,64462,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-008031,2026-07-02T00:15:23+08:00,10.20.90.21,10.20.10.21,50435,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-009962,2026-07-02T00:15:23+08:00,10.20.90.21,10.20.10.21,62164,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-009974,2026-07-02T00:15:23+08:00,10.20.90.21,10.20.10.21,31856,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-010477,2026-07-02T00:15:23+08:00,10.20.90.21,10.20.30.21,91961,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-001217,2026-07-02T00:15:24+08:00,10.20.90.21,10.20.10.22,50488,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-003851,2026-07-02T00:15:24+08:00,10.20.90.21,10.20.30.21,37827,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-005503,2026-07-02T00:15:24+08:00,10.20.90.21,10.20.10.22,76538,medium,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-011614,2026-07-02T00:15:24+08:00,10.20.90.21,10.20.10.22,28934,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-013536,2026-07-02T00:15:24+08:00,10.20.90.21,10.20.30.21,27258,medium,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-004593,2026-07-02T00:15:25+08:00,10.20.90.21,10.20.60.21,18170,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-014276,2026-07-02T00:15:25+08:00,10.20.90.21,10.20.10.22,97864,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-007586,2026-07-02T00:15:26+08:00,10.20.90.21,10.20.10.21,11820,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-007888,2026-07-02T00:15:26+08:00,10.20.90.21,10.20.60.21,30314,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-001145,2026-07-02T00:15:27+08:00,10.20.90.21,10.20.10.22,77059,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-011210,2026-07-02T00:15:27+08:00,10.20.90.21,10.20.10.21,87851,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-003259,2026-07-02T00:15:28+08:00,10.20.90.21,10.20.10.22,93207,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-003752,2026-07-02T00:15:28+08:00,10.20.90.21,10.20.60.21,56610,medium,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-007126,2026-07-02T00:15:28+08:00,10.20.90.21,10.20.10.21,12090,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-008698,2026-07-02T00:15:28+08:00,10.20.90.21,10.20.10.21,65021,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-013861,2026-07-02T00:15:28+08:00,10.20.90.21,10.20.10.21,60004,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-003740,2026-07-02T00:15:29+08:00,10.20.90.21,10.20.10.21,84481,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-004116,2026-07-02T00:15:29+08:00,10.20.90.21,10.20.60.21,39129,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-004552,2026-07-02T00:15:29+08:00,10.20.90.21,10.20.30.21,13256,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-005276,2026-07-02T00:15:29+08:00,10.20.90.21,10.20.60.21,60151,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-008931,2026-07-02T00:15:29+08:00,10.20.90.21,10.20.30.21,93664,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-002056,2026-07-02T00:15:30+08:00,10.20.90.21,10.20.30.21,55418,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-007633,2026-07-02T00:15:30+08:00,10.20.90.21,10.20.10.21,27041,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-011892,2026-07-02T00:15:30+08:00,10.20.90.21,10.20.10.22,46739,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-013022,2026-07-02T00:15:30+08:00,10.20.90.21,10.20.10.22,43608,medium,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-014014,2026-07-02T00:15:30+08:00,10.20.90.21,10.20.30.21,10154,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-003185,2026-07-02T00:15:31+08:00,10.20.90.21,10.20.10.22,11955,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-004856,2026-07-02T00:15:31+08:00,10.20.90.21,10.20.10.22,56996,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-004873,2026-07-02T00:15:31+08:00,10.20.90.21,10.20.60.21,84683,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-005069,2026-07-02T00:15:31+08:00,10.20.90.21,10.20.30.21,88512,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-014986,2026-07-02T00:15:31+08:00,10.20.90.21,10.20.10.21,27709,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-003631,2026-07-02T00:15:32+08:00,10.20.90.21,10.20.10.21,80772,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-003915,2026-07-02T00:15:32+08:00,10.20.90.21,10.20.10.21,56294,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-007642,2026-07-02T00:15:32+08:00,10.20.90.21,10.20.60.21,48690,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-009053,2026-07-02T00:15:32+08:00,10.20.90.21,10.20.30.21,90498,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-010537,2026-07-02T00:15:32+08:00,10.20.90.21,10.20.30.21,61697,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-002453,2026-07-02T00:15:33+08:00,10.20.90.21,10.20.30.21,60822,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-003025,2026-07-02T00:15:33+08:00,10.20.90.21,10.20.10.22,14524,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-010491,2026-07-02T00:15:33+08:00,10.20.90.21,10.20.60.21,47766,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-011279,2026-07-02T00:15:33+08:00,10.20.90.21,10.20.30.21,12949,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-011923,2026-07-02T00:15:33+08:00,10.20.90.21,10.20.10.21,85170,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-000344,2026-07-02T00:15:34+08:00,10.20.90.21,10.20.10.22,34442,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-009168,2026-07-02T00:15:34+08:00,10.20.90.21,10.20.10.22,52515,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-010861,2026-07-02T00:15:34+08:00,10.20.90.21,10.20.60.21,61201,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-011996,2026-07-02T00:15:34+08:00,10.20.90.21,10.20.10.21,50729,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-000737,2026-07-02T00:15:35+08:00,10.20.90.21,10.20.10.21,33761,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-012258,2026-07-02T00:15:35+08:00,10.20.90.21,10.20.30.21,37540,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-014511,2026-07-02T00:15:35+08:00,10.20.90.21,10.20.30.21,46892,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-000551,2026-07-02T00:15:36+08:00,10.20.90.21,10.20.60.21,56516,medium,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-001672,2026-07-02T00:15:36+08:00,10.20.90.21,10.20.10.22,27695,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-004968,2026-07-02T00:15:36+08:00,10.20.90.21,10.20.10.22,67194,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-012080,2026-07-02T00:15:36+08:00,10.20.90.21,10.20.30.21,52818,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-013316,2026-07-02T00:15:36+08:00,10.20.90.21,10.20.10.21,42809,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-000892,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.30.21,82681,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-001006,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.30.21,57259,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-002510,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.60.21,50232,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-004246,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.30.21,36668,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-006430,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.60.21,27990,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-006964,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.10.21,54658,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-013422,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.10.21,67457,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-013504,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.10.21,44519,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-014955,2026-07-02T00:15:37+08:00,10.20.90.21,10.20.60.21,11686,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-002654,2026-07-02T00:15:38+08:00,10.20.90.21,10.20.10.22,52137,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-012931,2026-07-02T00:15:38+08:00,10.20.90.21,10.20.10.21,80494,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-006172,2026-07-02T00:15:39+08:00,10.20.90.21,10.20.60.21,65255,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-007943,2026-07-02T00:15:39+08:00,10.20.90.21,10.20.10.21,94511,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-014472,2026-07-02T00:15:39+08:00,10.20.90.21,10.20.30.21,54930,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-015798,2026-07-02T00:15:39+08:00,10.20.90.21,10.20.10.21,74099,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-002583,2026-07-02T00:15:40+08:00,10.20.90.21,10.20.60.21,40365,info,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-003690,2026-07-02T00:15:40+08:00,10.20.90.21,10.20.60.21,97559,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-004502,2026-07-02T00:15:40+08:00,10.20.90.21,10.20.30.21,15927,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-006640,2026-07-02T00:15:40+08:00,10.20.90.21,10.20.60.21,54635,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-009807,2026-07-02T00:15:40+08:00,10.20.90.21,10.20.10.22,75342,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-002720,2026-07-02T00:15:41+08:00,10.20.90.21,10.20.10.21,57411,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-005118,2026-07-02T00:15:41+08:00,10.20.90.21,10.20.60.21,98269,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-009117,2026-07-02T00:15:41+08:00,10.20.90.21,10.20.30.21,61618,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-010372,2026-07-02T00:15:41+08:00,10.20.90.21,10.20.60.21,62231,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-013985,2026-07-02T00:15:41+08:00,10.20.90.21,10.20.30.21,61144,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-009445,2026-07-02T00:15:42+08:00,10.20.90.21,10.20.60.21,76196,low,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-014366,2026-07-02T00:15:42+08:00,10.20.90.21,10.20.10.22,17533,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-014666,2026-07-02T00:15:42+08:00,10.20.90.21,10.20.10.21,84353,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-015289,2026-07-02T00:15:42+08:00,10.20.90.21,10.20.10.21,78261,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-015607,2026-07-02T00:15:42+08:00,10.20.90.21,10.20.10.22,96611,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-015845,2026-07-02T00:15:42+08:00,10.20.90.21,10.20.10.22,52606,info,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-011618,2026-07-02T00:15:43+08:00,10.20.90.21,10.20.10.21,74922,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-012653,2026-07-02T00:15:43+08:00,10.20.90.21,10.20.60.21,81269,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-000143,2026-07-02T00:15:44+08:00,10.20.90.21,10.20.30.21,84951,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-007882,2026-07-02T00:15:44+08:00,10.20.90.21,10.20.60.21,34057,medium,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-014630,2026-07-02T00:15:44+08:00,10.20.90.21,10.20.10.22,33316,info,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-011314,2026-07-02T00:15:45+08:00,10.20.90.21,10.20.10.21,77031,medium,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-012861,2026-07-02T00:15:45+08:00,10.20.90.21,10.20.10.21,30506,low,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-014337,2026-07-02T00:15:46+08:00,10.20.90.21,10.20.30.21,88543,low,Apache version disclosure,detected,scheduled vulnerability scan
vuln-20260706-001982,2026-07-02T00:15:47+08:00,10.20.90.21,10.20.60.21,16760,low,OpenSSH banner,detected,scheduled vulnerability scan
vuln-20260706-002135,2026-07-02T00:15:47+08:00,10.20.90.21,10.20.10.21,74754,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-003045,2026-07-02T00:15:47+08:00,10.20.90.21,10.20.10.22,94949,info,Missing security header,detected,scheduled vulnerability scan
vuln-20260706-004765,2026-07-02T00:15:47+08:00,10.20.90.21,10.20.10.21,85210,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-008717,2026-07-02T00:15:47+08:00,10.20.90.21,10.20.30.21,49158,medium,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-009652,2026-07-02T00:15:47+08:00,10.20.90.21,10.20.10.22,15524,info,Nginx default page,detected,scheduled vulnerability scan
vuln-20260706-000347,2026-07-02T00:15:48+08:00,10.20.90.21,10.20.30.21,74730,medium,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-002208,2026-07-02T00:15:48+08:00,10.20.90.21,10.20.30.21,32769,low,TLS weak cipher,detected,scheduled vulnerability scan
vuln-20260706-008696,2026-07-02T00:15:49+08:00,10.20.90.21,10.20.60.21,35139,medium,Nginx default page,detected,scheduled vulnerability scan
